,Instance,n_N,n_B,k,wL,Lazy,A4,Gap,Runtime,NodeCount,ObjVal,Runtime_h,ObjVal_h
83,2,10,15,2,100,True,True,0.0,44.38239288330078,3029.0,1334.9237342629972,,
84,2,15,29,1,50,False,True,1.7635130590647526e-08,70.5378828048706,4431.0,1563.4202198212797,,
85,2,15,29,1,50,True,True,0.0,440.0094504356384,11406.0,1561.44020518261,,
86,2,15,29,1,100,False,True,5.0039199961574946e-08,41.83884334564209,758.0,2363.4203109725204,,
87,2,15,29,1,100,True,True,2.4647949778256076e-10,498.4214057922363,35580.0,2361.4402051524194,,
88,2,15,29,1,50,False,True,1.7635130590647526e-08,70.75736379623413,4431.0,1563.4202198212797,,
89,2,15,29,1,50,True,True,0.0,435.6254851818085,11406.0,1561.44020518261,,
90,2,15,29,1,100,False,True,5.0039199961574946e-08,41.43754506111145,758.0,2363.4203109725204,,
91,2,15,29,1,100,True,True,2.4647949778256076e-10,499.3126058578491,35580.0,2361.4402051524194,,
92,2,15,29,3,50,False,True,6.49578083717812e-05,145.63780236244202,4192.0,1167.524454952697,,
93,2,15,29,3,50,True,True,3.706899524287331e-08,477.2087182998657,6154.0,1164.5463232098102,,
94,2,15,29,3,100,False,True,1.6719026613772805e-07,112.409982919693,4532.0,1917.4497279028174,,
95,2,15,29,3,100,True,True,4.1966417642916845e-10,414.6691896915436,15531.0,1914.5462888869592,,
96,2,20,35,1,50,False,True,0.0,106.30714964866638,10794.0,1922.227329974065,,
97,2,20,35,1,50,True,True,3.02991209055161e-10,527.6133568286896,24196.0,1913.31268962785,,
98,2,20,35,1,100,False,True,0.0,116.82609677314758,1457.0,2997.227323597728,,
99,2,20,35,1,100,True,True,0.0,317.35194182395935,3389.0,3290.275231341673,,
100,2,20,35,2,50,False,True,6.465312597631898e-05,213.32720255851746,4574.0,1626.035318143336,,
101,2,20,35,2,50,True,True,2.8776057892247715e-05,693.9193549156189,20140.0,1621.7532226121684,,
102,2,20,35,2,100,False,True,5.3053219990697834e-08,529.1437718868256,5661.0,2625.9303332837926,,
103,2,20,35,2,100,True,True,0.0,1406.3865587711334,9943.0,2622.9282388250112,,
104,2,20,35,5,50,False,True,4.0900417385066504e-06,165.6276228427887,5478.0,1366.5560569683748,,
105,2,20,35,5,50,True,True,3.360699934506112e-05,927.3857319355011,53548.0,1370.6931772178398,,
106,2,20,35,5,100,False,True,2.2241669482779778e-07,151.87082266807556,4751.0,2366.5506794386033,,
107,2,20,35,5,100,True,True,9.075727299422483e-05,1098.0433430671692,58951.0,2366.1075821557097,,
108,3,10,19,1,50,False,True,0.0,18.503785848617554,1532.0,853.0478997857845,,
109,3,10,19,1,50,True,True,4.7858064237639176e-05,10.62685227394104,1426.0,852.9992161295949,,
110,3,10,19,1,100,False,True,6.73477099495804e-08,22.980709552764893,441.0,1353.047960670458,,
111,3,10,19,1,100,True,True,0.0,20.76511311531067,2061.0,1356.8948909253058,,
112,3,10,19,1,50,False,True,0.0,18.520264863967896,1532.0,853.0478997857845,,
113,3,10,19,1,50,True,True,4.7858064237639176e-05,10.51205325126648,1426.0,852.9992161295949,,
