,Instance,n_N,n_B,k,Single,wL,Lazy,A4,Init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
0,2,10,1,1,True,0,False,False,7.76360839221697e-05,1.8600759506225586,809.0,465.3388508951457,,,,,
1,2,10,1,1,True,0,False,False,7.118446939646111e-05,0.6142392158508301,1.0,465.3366798937043,,0.014506816864013672,0.007238149642944336,477.56664944120297,477.56664944120286
2,2,10,3,1,True,0,False,False,2.76278101236878e-05,9.296247005462646,4674.0,465.32959172473414,,,,,
3,2,10,3,1,True,0,False,False,3.8486446933543916e-05,7.037008047103882,878.0,465.3352460350785,,0.023861169815063477,0.014959096908569336,477.56664944120297,477.56664944120286
4,2,10,7,1,True,0,False,False,1.932167129239652e-05,13.873690843582153,1084.0,478.6927693297919,,,,,
5,2,10,7,1,True,0,False,False,1.4849445986114453e-05,9.44617509841919,435.0,478.68917293878155,,0.02964496612548828,0.029929161071777344,490.94013450633537,587.5302962734726
6,2,10,15,1,True,0,False,True,0.0,14.320677995681763,818.0,511.6933979028183,,,,,
7,2,10,15,1,True,0,False,True,6.53361265226353e-05,6.375235080718994,494.0,511.6935874226219,,0.04280686378479004,0.0473940372467041,523.9524823469417,689.0249550806584
8,2,10,1,1,True,50,False,False,8.229858886097164e-05,1.1570079326629639,393.0,715.3422914503448,,,,,
9,2,10,1,1,True,50,False,False,5.236512017074061e-05,0.4813101291656494,1.0,715.3196513968269,,0.011394023895263672,0.007475137710571289,727.5666494412029,727.5666494412028
10,2,10,3,1,True,50,False,False,2.1811320473090097e-05,0.9899871349334717,1.0,715.324361914769,,,,,
11,2,10,3,1,True,50,False,False,1.2033906953906057e-06,2.4832141399383545,1.0,715.3205451737863,,0.014274120330810547,0.014277219772338867,727.5666494412029,727.5666494412028
12,2,10,7,1,True,50,False,False,2.9372731284211828e-05,15.227334022521973,2087.0,803.6902034453285,,,,,
13,2,10,7,1,True,50,False,False,1.7718779905752967e-05,2.592402935028076,826.0,803.691086215611,,0.022949934005737305,0.02992391586303711,815.9401345063354,937.5302962734726
14,2,10,15,1,True,50,False,True,4.91909477271809e-05,5.964162826538086,442.0,1011.6935791887765,,,,,
15,2,10,15,1,True,50,False,True,8.502809556043993e-05,7.279019832611084,663.0,1011.6935845827785,,0.04021000862121582,0.04697990417480469,1023.9524823469417,1382.194742297559
16,2,10,1,1,True,0,False,False,7.76360839221697e-05,1.562589168548584,809.0,465.3388508951457,,,,,
17,2,10,1,1,True,0,False,False,7.118446939646111e-05,0.6102700233459473,1.0,465.3366798937043,,0.01055002212524414,0.007234096527099609,477.56664944120297,477.56664944120286
18,2,10,3,1,True,0,False,False,2.76278101236878e-05,8.708976030349731,4674.0,465.32959172473414,,,,,
19,2,10,3,1,True,0,False,False,3.8486446933543916e-05,6.872164964675903,878.0,465.3352460350785,,0.01620006561279297,0.014603853225708008,477.56664944120297,477.56664944120286
20,2,10,7,1,True,0,False,False,1.932167129239652e-05,13.632126092910767,1084.0,478.6927693297919,,,,,
21,2,10,7,1,True,0,False,False,1.4849445986114453e-05,9.381232023239136,435.0,478.68917293878155,,0.028558969497680664,0.030572891235351562,490.94013450633537,587.5302962734726
22,2,10,15,1,True,0,False,True,0.0,14.15182900428772,818.0,511.6933979028183,,,,,
23,2,10,15,1,True,0,False,True,6.53361265226353e-05,6.405807018280029,494.0,511.6935874226219,,0.044554948806762695,0.04800009727478027,523.9524823469417,689.0249550806584
24,2,10,1,1,True,50,False,False,8.229858886097164e-05,1.1952619552612305,393.0,715.3422914503448,,,,,
25,2,10,1,1,True,50,False,False,5.236512017074061e-05,0.47038698196411133,1.0,715.3196513968269,,0.011895895004272461,0.007524013519287109,727.5666494412029,727.5666494412028
26,2,10,3,1,True,50,False,False,2.1811320473090097e-05,0.991663932800293,1.0,715.324361914769,,,,,
27,2,10,3,1,True,50,False,False,1.2033906953906057e-06,2.4716310501098633,1.0,715.3205451737863,,0.014642953872680664,0.014806985855102539,727.5666494412029,727.5666494412028
28,2,10,7,1,True,50,False,False,2.9372731284211828e-05,15.264116048812866,2087.0,803.6902034453285,,,,,
29,2,10,7,1,True,50,False,False,1.7718779905752967e-05,2.5809719562530518,826.0,803.691086215611,,0.02259683609008789,0.03003096580505371,815.9401345063354,937.5302962734726
30,2,10,15,1,True,50,False,True,4.91909477271809e-05,5.8419740200042725,442.0,1011.6935791887765,,,,,
31,2,10,15,1,True,50,False,True,8.502809556043993e-05,7.251779794692993,663.0,1011.6935845827785,,0.0399019718170166,0.046896934509277344,1023.9524823469417,1382.194742297559
32,2,10,1,2,True,0,False,False,1.7018491691405644e-05,4.033078908920288,467.0,247.00161745367,,,,,
33,2,10,1,2,True,0,False,False,8.628267426681725e-06,4.810415029525757,867.0,247.0022092427304,,0.04055500030517578,0.007287025451660156,258.96166720193537,258.96166720193537
34,2,10,3,2,True,0,False,False,6.804634730685411e-05,7.695107936859131,823.0,257.7149704318292,,,,,
35,2,10,3,2,True,0,False,False,6.804634730685411e-05,7.767956972122192,823.0,257.7149704318292,,0.07749104499816895,0.2713909149169922,269.7177181380661,713.2961804229262
36,2,10,7,2,True,0,False,False,3.4986384176714916e-05,14.366953134536743,884.0,271.07955194255464,,,,,
37,2,10,7,2,True,0,False,False,9.283053612149602e-05,13.381590127944946,6355.0,271.0809130170393,,0.2206439971923828,0.03024601936340332,283.2040280639464,379.7941898310836
38,2,10,15,2,True,0,False,True,0.0,19.883599996566772,2484.0,334.76305255106274,,,,,
39,2,10,15,2,True,0,False,True,0.0,19.94835901260376,2484.0,334.76305255106274,,0.06268596649169922,0.9166550636291504,349.94197577193574,615.8154897176687
40,2,10,1,2,True,50,False,False,7.2671245015506545e-06,3.429853916168213,1403.0,497.00170500827176,,,,,
