,Instance,n_N,n_B,k,wL,Lazy,A4,Init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
0,0,50,8,1,50,False,False,True,0.0005140442850790977,1200.474503993988,77393.0,4771.760172239206,1.3783538341522217,691.9774780273438,4793.916485408431,4771.768280189084
1,0,50,20,1,50,False,False,True,,,,,1.1890881061553955,,,
2,0,50,41,1,50,False,False,True,,,,,1.5614738464355469,,,
3,0,50,8,5,50,False,False,True,,,,,37.476011991500854,,,
4,0,50,20,5,50,False,False,True,,,,,100.0103690624237,,,
5,0,50,41,5,50,False,False,True,,,,,100.01153993606567,,,
6,0,50,8,12,50,False,False,True,,,,,0.12361884117126465,,,
7,0,50,20,12,50,False,False,True,,,,,3.4784908294677734,,,
8,0,50,41,12,50,False,False,True,,,,,100.00928997993469,,,
9,1,50,8,1,50,False,False,True,0.00045228981918957764,1200.3035440444946,126889.0,4521.321030374109,0.6874849796295166,680.1405680179596,4538.363684596759,4521.347554724576
10,1,50,20,1,50,False,False,True,,,,,2.094714879989624,,,
11,1,50,41,1,50,False,False,True,,,,,1.454639196395874,,,
12,1,50,8,5,50,False,False,True,7.535774287166502e-06,680.4640629291534,61733.0,3558.2421249277095,57.80326700210571,680.0813488960266,3573.874397732451,3558.2421217181213
13,1,50,20,5,50,False,False,True,,,,,45.31143593788147,,,
