,Instance,n_N,n_B,k,wL,Lazy,A4,Init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
0,0,10,21,1,50,False,True,False,3.2322455192202633e-07,7.657140016555786,438.0,891.5850828682986,,,,
1,0,10,21,1,50,False,True,True,6.773069169395129e-05,4.791690111160278,441.0,891.6452470369491,0.03020191192626953,0.910485029220581,968.9214253609304,939.987614901215
2,0,10,2,1,50,False,False,False,2.3558249201020093e-05,6.435400009155273,2029.0,597.495448173551,,,,
3,0,10,5,1,50,False,False,False,0.0001361640321516181,3600.0162720680237,3061174.0,616.8236545124688,,,,
4,0,10,10,1,50,False,False,False,0.0019433559796423496,3600.048681974411,420251.0,677.8390170488549,,,,
5,0,10,2,1,50,False,False,True,9.01608925830723e-05,2.039215087890625,1.0,589.6800939143546,0.02649521827697754,0.35881519317626953,926.9166590975308,897.2738860719695
6,0,10,5,1,50,False,False,True,9.682933615582929e-05,646.0139219760895,469551.0,617.900579016354,0.012582063674926758,11.507780075073242,979.6525143799352,762.3819392200014
7,0,10,10,1,50,False,False,True,0.00012472339027369276,3600.0387251377106,872561.0,706.360716080376,0.021851062774658203,153.22795701026917,926.6585665765948,730.552895296795
8,0,10,21,1,50,False,True,False,3.2322455192202633e-07,7.78156304359436,438.0,891.5850828682986,,,,
9,0,10,21,1,50,False,True,True,6.773069169395129e-05,5.297929048538208,441.0,891.6452470369491,0.0270078182220459,0.8897089958190918,968.9214253609304,939.987614901215
10,0,10,2,1,50,False,False,False,0.00023748651710680702,3600.011459827423,3647820.0,591.4596194193732,,,,
11,0,10,5,1,50,False,False,False,4.05541851532661e-05,145.63076996803284,41114.0,650.6344608024217,,,,
12,0,10,10,1,50,False,False,False,7.930617266326672e-05,196.68469214439392,33891.0,751.6780526459222,,,,
13,0,10,2,1,50,False,False,True,9.01608925830723e-05,2.0249509811401367,1.0,589.6800939143546,0.007906913757324219,0.34918212890625,926.9166590975308,897.2738860719695
14,0,10,5,1,50,False,False,True,4.4792287009207125e-05,13.123608112335205,2215.0,597.5181788681928,0.011749982833862305,0.7637898921966553,1017.2481327637469,985.8754151551752
15,0,10,10,1,50,False,False,True,0.000283683652084981,3600.0530309677124,657870.0,668.9848465214009,0.01994609832763672,1.9842321872711182,926.8813159451602,897.9964338103744
16,0,10,21,2,50,False,True,False,1.1289219875061777e-07,26.904700994491577,902.0,781.5308071912692,,,,
17,0,10,21,2,50,False,True,True,7.399536030694294e-07,9.92572021484375,2161.0,781.530992458011,0.46670007705688477,1.2403671741485596,836.2541928750143,805.7566388346719
18,0,10,2,2,50,False,False,False,6.236038515411461e-05,3.7177820205688477,2010.0,443.7930938274178,,,,
19,0,10,5,2,50,False,False,False,3.2949355563932924e-05,33.14881992340088,8225.0,475.82744858914566,,,,
20,0,10,10,2,50,False,False,False,5.785775533209028e-05,112.75700092315674,17543.0,488.93538937049493,,,,
21,0,10,2,2,50,False,False,True,4.23346387569526e-07,11.336930990219116,3293.0,443.771599134181,0.018193960189819336,0.304718017578125,947.9907548165736,908.3833532403185
22,0,10,5,2,50,False,False,True,5.6851284595452234e-05,59.03077697753906,5013.0,457.12895743992664,0.031599998474121094,0.947767972946167,824.7860273566183,795.3364392635085
23,0,10,10,2,50,False,False,True,9.854634931707533e-05,227.7546088695526,39488.0,481.82686876865887,0.061859130859375,7.7899558544158936,821.4377235035902,791.9761949852273
24,0,20,35,1,50,False,True,False,5.304572294693874e-06,72.98580503463745,7288.0,2390.4471037886606,,,,
25,0,20,35,1,50,False,True,True,2.883804004601547e-05,59.11484408378601,4943.0,2390.447799686801,0.15661907196044922,2.4609150886535645,2479.4324758902135,2443.4054650091757
26,0,20,3,1,50,False,False,False,7.692915095646958e-07,122.83829307556152,5971.0,1316.2142174505725,,,,
27,0,20,8,1,50,False,False,False,7.86466483251678e-06,980.6508178710938,77867.0,1341.359010267882,,,,
28,0,20,17,1,50,False,False,False,,,,,,,,
29,0,20,3,1,50,False,False,True,0.0009001438667291884,3600.0247571468353,1231522.0,1437.046343440044,0.0351870059967041,158.20438504219055,2087.333116563837,1437.0517416562434
30,0,20,8,1,50,False,False,True,5.767046981776694e-05,580.845694065094,55939.0,1464.2734096933061,0.05645918846130371,457.65608310699463,1887.166000869623,1464.286311029318
31,0,20,17,1,50,False,False,True,0.003211431483365304,3600.19832611084,129760.0,1560.1046643538516,0.17632508277893066,70.31316208839417,2007.5504754020344,1968.420708451397
32,0,20,35,2,50,False,True,False,8.870604329469046e-08,347.2187798023224,3039.0,1766.8615433062191,,,,
