,index,n_N,perc_B,k,single,wL,lazy,A4,init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
83,83,10,20.0%,25%,False,0,False,False,True,0.008598946469473482,249.24495196342468,2658.0,622.4663930962336,9.088473081588743,4.319396018981934,645.8862937847225,645.8862937847224
84,84,10,50.0%,25%,False,0,False,False,False,0.0002594981695185536,43.755542039871216,4767.0,210.01037467952585,,,,
85,85,10,50.0%,25%,False,0,False,False,True,0.007693144639999897,122.81051588058472,53728.0,1188.789104466653,0.8755660057067871,0.3270421028137207,1211.0431933751763,1211.0431933751763
86,86,10,100%,25%,False,0,False,True,False,0.0006047993826727313,17.611122846603394,225.0,258.3966785418764,,,,
87,87,10,100%,25%,False,0,False,True,True,0.009240451514365993,144.0539939403534,3101.0,1629.581615584798,8.841930866241455,4.197792053222656,1653.6587084538985,1653.6587084538985
88,88,10,10.0%,25%,False,50,False,False,False,0.00570112430255744,9.970932960510254,2050.0,451.1351098264457,,,,
89,89,10,10.0%,25%,False,50,False,False,True,0.003038358372566382,90.4076051712036,26895.0,226.93848238343145,0.8684821128845215,0.3222110271453857,249.0014169575504,249.0014169575504
90,90,10,20.0%,25%,False,50,False,False,False,0.0071548202000531694,76.43683099746704,61581.0,473.3247330637863,,,,
91,91,10,20.0%,25%,False,50,False,False,True,0.006702790390544433,579.1092541217804,35145.0,405.21980690498975,8.869637966156006,4.219192981719971,443.0316367593697,443.0316367593696
92,92,10,50.0%,25%,False,50,False,False,False,0.005736759354995031,20.84243392944336,2044.0,510.0542560602303,,,,
93,93,10,50.0%,25%,False,50,False,False,True,0.007286595430892961,111.4083240032196,54256.0,742.8454864141432,0.8674910068511963,0.3176198005676269,765.8548111946355,765.8548111946355
94,94,10,100%,25%,False,50,False,True,False,0.0007573438570556205,10.395696878433228,221.0,758.6270795753869,,,,
95,95,10,100%,25%,False,50,False,True,True,0.006803707882906676,148.08187198638916,19370.0,1405.219828587291,9.02396297454834,4.297806024551392,1443.0316367593696,1443.0316367593696
96,96,20,10.0%,1,True,0,False,False,False,0.00012815922905840904,245.7183899879456,48925.0,857.7882643643675,,,,
97,97,20,10.0%,1,True,0,False,False,True,11.989032540103201,3600.158385038376,304118.0,1508.730082462415,0.3023209571838379,130.06697010993958,1367.7902011123592,1960.7972614826656
98,98,20,20.0%,1,True,0,False,False,False,0.0037803360695476103,558.6984770298004,101138.0,879.7921665409609,,,,
99,99,20,20.0%,1,True,0,False,False,True,1.08475570067004,3600.484498977661,332828.0,1427.2098316680515,0.8530628681182861,7.30630087852478,1450.178799702051,3196.7046708934054
100,100,20,50.0%,1,True,0,False,False,False,0.75102225362427,3600.274548053741,399328.0,883.8121592409377,,,,
101,101,20,50.0%,1,True,0,False,False,True,9.65754332185507,3600.157036781311,354262.0,2563.1774130772683,0.3958489894866943,108.36048197746275,2342.79020111236,5655.233249548282
