,instance,n_N,perc_B,k,single,wL,lazy,A4,init
136,0,20,10.0%,25%,True,50,False,False,False
137,0,20,10.0%,25%,True,50,False,False,True
138,0,20,20.0%,25%,True,50,False,False,False
139,0,20,20.0%,25%,True,50,False,False,True
140,0,20,50.0%,25%,True,50,False,False,False
141,0,20,50.0%,25%,True,50,False,False,True
142,0,20,100%,25%,True,50,False,True,False
143,0,20,100%,25%,True,50,False,True,True
144,0,20,10.0%,1,False,0,False,False,False
145,0,20,10.0%,1,False,0,False,False,True
146,0,20,20.0%,1,False,0,False,False,False
147,0,20,20.0%,1,False,0,False,False,True
148,0,20,50.0%,1,False,0,False,False,False
149,0,20,50.0%,1,False,0,False,False,True
150,0,20,100%,1,False,0,False,True,False
151,0,20,100%,1,False,0,False,True,True
152,0,20,10.0%,1,False,50,False,False,False
153,0,20,10.0%,1,False,50,False,False,True
154,0,20,20.0%,1,False,50,False,False,False
155,0,20,20.0%,1,False,50,False,False,True
156,0,20,50.0%,1,False,50,False,False,False
157,0,20,50.0%,1,False,50,False,False,True
158,0,20,100%,1,False,50,False,True,False
159,0,20,100%,1,False,50,False,True,True
160,0,20,10.0%,10%,False,0,False,False,False
161,0,20,10.0%,10%,False,0,False,False,True
162,0,20,20.0%,10%,False,0,False,False,False
163,0,20,20.0%,10%,False,0,False,False,True
164,0,20,50.0%,10%,False,0,False,False,False
165,0,20,50.0%,10%,False,0,False,False,True
166,0,20,100%,10%,False,0,False,True,False
167,0,20,100%,10%,False,0,False,True,True
168,0,20,10.0%,10%,False,50,False,False,False
169,0,20,10.0%,10%,False,50,False,False,True
170,0,20,20.0%,10%,False,50,False,False,False
171,0,20,20.0%,10%,False,50,False,False,True
172,0,20,50.0%,10%,False,50,False,False,False
173,0,20,50.0%,10%,False,50,False,False,True
174,0,20,100%,10%,False,50,False,True,False
175,0,20,100%,10%,False,50,False,True,True
176,0,20,10.0%,25%,False,0,False,False,False
177,0,20,10.0%,25%,False,0,False,False,True
178,0,20,20.0%,25%,False,0,False,False,False
179,0,20,20.0%,25%,False,0,False,False,True
180,0,20,50.0%,25%,False,0,False,False,False
181,0,20,50.0%,25%,False,0,False,False,True
182,0,20,100%,25%,False,0,False,True,False
183,0,20,100%,25%,False,0,False,True,True
184,0,20,10.0%,25%,False,50,False,False,False
185,0,20,10.0%,25%,False,50,False,False,True
186,0,20,20.0%,25%,False,50,False,False,False
187,0,20,20.0%,25%,False,50,False,False,True
188,0,20,50.0%,25%,False,50,False,False,False
189,0,20,50.0%,25%,False,50,False,False,True
190,0,20,100%,25%,False,50,False,True,False
191,0,20,100%,25%,False,50,False,True,True
192,0,30,10.0%,1,True,0,False,False,False
193,0,30,10.0%,1,True,0,False,False,True
194,0,30,20.0%,1,True,0,False,False,False
195,0,30,20.0%,1,True,0,False,False,True
196,0,30,50.0%,1,True,0,False,False,False
197,0,30,50.0%,1,True,0,False,False,True
198,0,30,100%,1,True,0,False,True,False
199,0,30,100%,1,True,0,False,True,True
200,0,30,10.0%,1,True,50,False,False,False
201,0,30,10.0%,1,True,50,False,False,True
202,0,30,20.0%,1,True,50,False,False,False
203,0,30,20.0%,1,True,50,False,False,True
204,0,30,50.0%,1,True,50,False,False,False
205,0,30,50.0%,1,True,50,False,False,True
206,0,30,100%,1,True,50,False,True,False
207,0,30,100%,1,True,50,False,True,True
208,0,30,10.0%,10%,True,0,False,False,False
209,0,30,10.0%,10%,True,0,False,False,True
210,0,30,20.0%,10%,True,0,False,False,False
211,0,30,20.0%,10%,True,0,False,False,True
212,0,30,50.0%,10%,True,0,False,False,False
213,0,30,50.0%,10%,True,0,False,False,True
214,0,30,100%,10%,True,0,False,True,False
215,0,30,100%,10%,True,0,False,True,True
216,0,30,10.0%,10%,True,50,False,False,False
217,0,30,10.0%,10%,True,50,False,False,True
218,0,30,20.0%,10%,True,50,False,False,False
219,0,30,20.0%,10%,True,50,False,False,True
220,0,30,50.0%,10%,True,50,False,False,False
221,0,30,50.0%,10%,True,50,False,False,True
222,0,30,100%,10%,True,50,False,True,False
223,0,30,100%,10%,True,50,False,True,True
224,0,30,10.0%,25%,True,0,False,False,False
225,0,30,10.0%,25%,True,0,False,False,True
226,0,30,20.0%,25%,True,0,False,False,False
227,0,30,20.0%,25%,True,0,False,False,True
228,0,30,50.0%,25%,True,0,False,False,False
229,0,30,50.0%,25%,True,0,False,False,True
230,0,30,100%,25%,True,0,False,True,False
231,0,30,100%,25%,True,0,False,True,True
232,0,30,10.0%,25%,True,50,False,False,False
233,0,30,10.0%,25%,True,50,False,False,True
234,0,30,20.0%,25%,True,50,False,False,False
235,0,30,20.0%,25%,True,50,False,False,True
236,0,30,50.0%,25%,True,50,False,False,False
237,0,30,50.0%,25%,True,50,False,False,True
238,0,30,100%,25%,True,50,False,True,False
239,0,30,100%,25%,True,50,False,True,True
240,0,30,10.0%,1,False,0,False,False,False
241,0,30,10.0%,1,False,0,False,False,True
242,0,30,20.0%,1,False,0,False,False,False
243,0,30,20.0%,1,False,0,False,False,True
244,0,30,50.0%,1,False,0,False,False,False
245,0,30,50.0%,1,False,0,False,False,True
246,0,30,100%,1,False,0,False,True,False
247,0,30,100%,1,False,0,False,True,True
248,0,30,10.0%,1,False,50,False,False,False
249,0,30,10.0%,1,False,50,False,False,True
250,0,30,20.0%,1,False,50,False,False,False
251,0,30,20.0%,1,False,50,False,False,True
252,0,30,50.0%,1,False,50,False,False,False
253,0,30,50.0%,1,False,50,False,False,True
254,0,30,100%,1,False,50,False,True,False
255,0,30,100%,1,False,50,False,True,True
256,0,30,10.0%,10%,False,0,False,False,False
257,0,30,10.0%,10%,False,0,False,False,True
258,0,30,20.0%,10%,False,0,False,False,False
259,0,30,20.0%,10%,False,0,False,False,True
260,0,30,50.0%,10%,False,0,False,False,False
261,0,30,50.0%,10%,False,0,False,False,True
262,0,30,100%,10%,False,0,False,True,False
263,0,30,100%,10%,False,0,False,True,True
264,0,30,10.0%,10%,False,50,False,False,False
265,0,30,10.0%,10%,False,50,False,False,True
266,0,30,20.0%,10%,False,50,False,False,False
267,0,30,20.0%,10%,False,50,False,False,True
268,0,30,50.0%,10%,False,50,False,False,False
269,0,30,50.0%,10%,False,50,False,False,True
270,0,30,100%,10%,False,50,False,True,False
271,0,30,100%,10%,False,50,False,True,True
272,0,30,10.0%,25%,False,0,False,False,False
273,0,30,10.0%,25%,False,0,False,False,True
274,0,30,20.0%,25%,False,0,False,False,False
275,0,30,20.0%,25%,False,0,False,False,True
276,0,30,50.0%,25%,False,0,False,False,False
