,Instance,n_N,n_B,k,wL,Lazy,A4,Init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
0,0,10,21,1,0,False,True,False,3.0505789813531343e-05,171.41328310966492,126524.0,367.7373927364992,,,,
1,0,10,21,1,0,False,True,True,0.0,315.2341961860657,160351.0,364.56004910891465,0.0566391944885253,0.1139450073242187,396.12647331457606,415.6867329059567
2,0,10,2,1,50,False,False,False,2.657982608846626e-07,2.967310905456543,1852.0,589.6394078627662,,,,
3,0,10,2,1,50,False,False,True,4.8530481500679305e-08,4.63856315612793,4570.0,615.4884660992531,0.0059039592742919,0.566457986831665,929.7685008201252,625.333846667378
4,0,10,4,1,50,False,False,False,7.164315248916123e-09,22.30737018585205,13195.0,645.2868820208855,,,,
5,0,10,4,1,50,False,False,True,5.709590231616327e-09,17.006377935409546,6353.0,622.5068688802057,0.0099339485168457,0.0191500186920166,994.2181024572568,1382.8894160661982
6,0,10,10,1,50,False,False,False,6.564634237221039e-06,61.42718696594238,10659.0,717.908386137401,,,,
7,0,10,10,1,50,False,False,True,1.1965828830830555e-05,44.958092212677,7392.0,694.10549202777,0.0218219757080078,0.0481550693511962,925.1306643447348,1148.3530229944402
8,0,10,21,1,50,False,True,False,0.0,40.76192998886109,9592.0,915.9507154349044,,,,
9,0,10,21,1,50,False,True,True,0.0,21.49492120742798,1157.0,863.583168974903,0.0348808765411376,0.0804841518402099,915.7164937691948,1259.8926414417217
10,0,10,2,1,0,False,False,False,1.5173052816539214e-06,3.9484379291534415,1584.0,339.6828079204682,,,,
11,0,10,2,1,0,False,False,True,9.638142390482429e-05,3.7652900218963614,1320.0,339.6719135378901,0.0047500133514404,0.0111780166625976,459.2635903133663,1425.9991297054958
12,0,10,4,1,0,False,False,False,4.450844946947995e-05,16.988975048065186,9350.0,350.8349641422237,,,,
13,0,10,4,1,0,False,False,True,1.2315431807569854e-08,6.272990942001343,2212.0,339.70385697530827,0.0063371658325195,0.0200650691986084,457.9244503917039,873.3844043837207
14,0,10,10,1,0,False,False,False,1.9894213530101112e-05,54.14759111404419,18197.0,354.1794794210324,,,,
15,0,10,10,1,0,False,False,True,2.4906336269525238e-05,58.36078906059265,17112.0,353.4678349467125,0.0209708213806152,0.048753023147583,451.7292562750816,808.1632229319158
16,0,10,21,1,0,False,True,False,0.0101537665509094,3600.0523421764374,1558778.0,365.33974726449696,,,,
17,0,10,21,1,0,False,True,True,0.0,29.01502013206482,8882.0,367.7373770584534,0.1360940933227539,0.0996110439300537,420.28420066902027,480.974577904297
18,0,10,2,1,50,False,False,False,4.338178864518781e-05,8.196978092193604,9954.0,624.1468377169087,,,,
19,0,10,2,1,50,False,False,True,3.289395788303407e-05,3.5068299770355225,1724.0,616.1314175588159,0.0048379898071289,0.0091419219970703,988.601151806774,1304.2678646121406
20,0,10,4,1,50,False,False,False,6.662021422854874e-07,13.053943872451782,6220.0,647.9968735692798,,,,
21,0,10,4,1,50,False,False,True,1.4544812182425816e-06,18.232127904891968,9439.0,667.9535909976994,0.0084760189056396,0.0192680358886718,946.4458948265924,1318.4177683413054
22,0,10,10,1,50,False,False,False,6.06171151606706e-07,46.22941303253174,15623.0,700.8415347851327,,,,
23,0,10,10,1,50,False,False,True,6.615623066891845e-05,42.18787312507629,9468.0,652.7694415401497,0.0181949138641357,0.0514490604400634,957.2752231136938,1135.9253693155033
24,0,10,21,1,50,False,True,False,4.5964907909871193e-08,45.93332290649414,11027.0,871.5764499552583,,,,
25,0,10,21,1,50,False,True,True,1.8958862984607875e-09,29.62389898300171,2125.0,891.5835502856364,0.0661261081695556,0.0823309421539306,926.214402576928,990.2135376916516
26,0,10,2,2,0,False,False,False,2.042186201909771e-06,13.844918966293337,4350.0,193.7719334700354,,,,
